"151015","Chris Cooper","3","2","157","364","7.0","7, 7, 7","The Town, A Time To Kill, The Bourne Identity"
"151016","Paul Dano","3","2","158","365","7.0","7, 6, 8","Prisoners, The Guilty, The Batman"
"151017","Steven Mackintosh","3","3","159","141","7.0","7, 8, 6","Rocketman, Lock Stock And Two Smoking Barrels, The Jacket"
"151018","Cristin Milioti","3","3","160","143","7.0","8, 7, 6","Palm Springs, Death To 2020, Death To 2021"
"151019","Sarah Snook","3","3","161","144","7.0","6, 8, 7","Pieces Of A Woman, Predestination, Steve Jobs"
"151020","Noah Jupe","3","3","162","145","7.0","9, 6, 6","Ford V Ferrari, A Quiet Place Part 2, No Sudden Move"
"151021","Connie Nielsen","3","3","163","146","7.0","7, 6, 8","Nobody, Wonder Woman 1984, Devil’S Advocate"
"151022","Mary Steenburgen","3","2","164","399","7.0","7, 8, 6","Book Club, Back To The Future, Nightmare Alley"
"151023","Walton Goggins","3","2","165","403","7.0","9, 5, 7","Django Unchained, Maze Runner: The Death Cure, The Bourne Identity"
"151024","Josh Hamilton","3","2","166","406","7.0","7, 7, 7","Away We Go, Manchester By The Sea, The Bourne Identity"
"151025","Helen Mirren","3","3","167","147","6.8","6, 7, 7, 7","Anna, State Of Play, Trumbo, The Duke"
"151026","Toni Collette","3","2","168","412","6.7","8, 6, 6","Knives Out, Stowaway, Nightmare Alley"
"151027","Kate Winslet","3","3","169","150","6.7","6, 7, 7","The Revolutionary Road, Eternal Sunshine Of The Spotless Mind, Steve Jobs"
"151028","Jeffrey Donovan","3","3","170","151","6.7","7, 6, 7","Sicario, Sicario Day Of The Soldado, Wrath Of Man"
"151029","Michael Kelly","3","3","171","152","6.7","7, 6, 7","Secret In Their Eyes, Everest, Fair Game"
"151030","Edward Norton","3","3","172","153","6.7","8, 5, 7","Primal Fear, Motherless Brooklyn, The Illusionist"
"151031","Val Kilmer","3","3","173","154","6.7","8, 6, 6","Heat, Kiss Kiss Bang Bang, Top Gun"
"151032","Charlize Theron","3","3","174","155","6.7","6, 6, 8","Long Shot, 15 Minutes, Devil’S Advocate"
"151033","Jason Statham","3","3","175","156","6.7","8, 5, 7","Lock Stock And Two Smoking Barrels, The Meg, Wrath Of Man"
"151034","Benedict Cumberbatch","3","3","176","157","6.7","7, 7, 6","Atonement, The Courier, The Power Of The Dog"
"151035","Shea Whigham","3","3","177","158","6.7","6, 7, 7","Sicario Day Of The Soldado, American Hustle, Non-Stop"
"151036","Noah Robbins","3","3","178","159","6.7","6, 7, 7","The Assistant, The Trial Of Chicago 7, Tick Tick… Boom!"
"151037","Ethan Hawke","3","3","179","160","6.7","6, 8, 6","The Purge, Predestination, The Guilty"
"151038","Aidan Gillen","3","3","180","161","6.7","9, 6, 5","King Arthur: Legend Of The Sword, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure"
"151039","Rosa Salazar","3","3","181","162","6.7","6, 9, 5","Maze Runner: The Scorch Trials, Alita: Battle Angel, Maze Runner: The Death Cure"
"151040","Imogen Poots","3","3","182","163","6.7","8, 5, 7","The Father, Vivarium, The Art Of Self-Defense"
"151041","Mads Mikkelsen","3","3","183","164","6.7","8, 7, 5","Another Round, The Hunt, Polar"
"151042","Mathieu Amalric","3","3","184","165","6.7","6, 7, 7","The Sound Of Metal, Oxygen, The French Dispatch"
"151043","Max Casella","3","3","185","166","6.7","7, 6, 7","Killing Them Softly, Oldboy (Us), Inside Llewyn Davis"
